"subject" "activityNum" "activity" "subject" "activityNum" "V1" "V2" "V3" "V4" "V39" "V40" "V41" "V42" "V43" "V44" "V79" "V80" "V81" "V82" "V83" "V84" "V119" "V120" "V121" "V122" "V123" "V124" "V159" "V160" "V161" "V162" "V163" "V164" "V199" "V200" "V212" "V213" "V225" "V226" "V238" "V239" "V251" "V252" "V264" "V265" "V266" "V267" "V268" "V269" "V343" "V344" "V345" "V346" "V347" "V348" "V422" "V423" "V424" "V425" "V426" "V427" "V501" "V502" "V514" "V515" "V527" "V528" "V540" "V541"
"1" 1 "walking" "standing" 1 5 0.28858451 -0.020294171 -0.13290514 -0.9952786 0.43512919 0.66079033 0.96339614 -0.14083968 0.11537494 -0.98524969 0.43902735 0.98691312 0.077996345 0.0050008031 -0.067830808 -0.99351906 0.033643943 -0.12651082 -0.0061008489 -0.031364791 0.1077254 -0.98531027 0.13487336 0.30109948 -0.0991674 -0.055517369 -0.061985797 -0.99211067 -0.087159695 0.33624748 0.094831568 0.19181715 0.094831568 0.19181715 -0.10543219 -0.038212313 0.21257776 0.43340495 -0.14577921 -0.12407233 -0.99478319 -0.9829841 -0.93926865 -0.99542175 -0.99487731 -0.99945439 -0.99233245 -0.98716991 -0.98969609 -0.99582068 -0.99984416 -0.99992792 -0.98657442 -0.98176153 -0.98951478 -0.98503264 -0.99994099 -0.99995861 -0.43647104 -0.79684048 -0.51608015 -0.80276003 0.58615643 0.37460462
"2" 1 "5" "standing" 1 5 0.27841883 -0.016410568 -0.12352019 -0.99824528 -0.07269189 0.57938169 0.96656113 -0.14155127 0.10937881 -0.99741134 -0.86571108 0.97438562 0.074006709 0.0057711041 0.029376633 -0.99554814 0.084103799 -0.2685539 -0.01611162 -0.083893777 0.10058429 -0.98311996 -0.2569294 0.1693948 -0.11050283 -0.044818731 -0.059242822 -0.98987256 -0.018075169 -0.34333678 0.31175771 -0.4116748 0.31175771 -0.4116748 0.056139272 -0.45834568 0.15577724 0.082575208 -0.10308433 -0.043823965 -0.99745072 -0.97685173 -0.97352267 -0.99868026 -0.99855336 -0.99982213 -0.99503222 -0.98131147 -0.98973975 -0.99665235 -0.99983501 -0.99982668 -0.97738671 -0.99253003 -0.98960578 -0.98490434 -0.99989434 -0.99997104 -0.12204037 -0.44952188 -0.62487099 -0.90015998 -0.33631041 -0.72001508
"3" 1 "5" "standing" 1 5 0.27965306 -0.019467156 -0.11346169 -0.99537956 -0.18110479 0.60890014 0.9668781 -0.14200984 0.10188392 -0.99957395 0.33793587 0.64341699 0.073635962 0.0031040366 -0.0090456308 -0.99074281 -0.11002563 -0.039952746 -0.031698294 -0.10233542 0.096126876 -0.97629211 0.043311584 -0.35064613 -0.10848567 -0.042410306 -0.055828829 -0.98846185 0.073717859 -0.31485776 0.25407599 -0.29612966 0.25407599 -0.29612966 -0.12841598 -0.52054112 0.061476177 0.041702126 -0.22058712 -0.10751416 -0.99359409 -0.97251146 -0.98330396 -0.99631281 -0.99943429 -0.99980088 -0.9909937 -0.98164225 -0.98756628 -0.9912488 -0.9997753 -0.99978683 -0.97543322 -0.99371467 -0.9867557 -0.97664224 -0.99985022 -0.9999556 -0.61872514 -0.87968464 -0.72469672 -0.92853938 -0.53535208 -0.87191414
"4" 1 "5" "standing" 1 5 0.27917394 -0.026200646 -0.12328257 -0.99609149 -0.36265405 0.50745887 0.96761519 -0.14397645 0.099850143 -0.99664558 -0.96882139 0.98425552 0.077320614 0.020057642 -0.0098647722 -0.99269737 -0.083278359 0.45705983 -0.043409983 -0.091386182 0.085537699 -0.9913848 0.14110084 -0.72530106 -0.091169889 -0.03633262 -0.06046466 -0.9911194 0.14045188 -0.30589766 -0.00046644726 0.037142509 -0.00046644726 0.037142509 -0.23031491 -0.4364594 0.11007156 -0.079422593 -0.315723 -0.16382553 -0.99549062 -0.98356972 -0.99107978 -0.99631211 -0.9997918 -0.99992168 -0.99444663 -0.98872722 -0.99135422 -0.99137827 -0.99982438 -0.99992369 -0.98710958 -0.99360151 -0.98719126 -0.99281036 -0.9998713 -0.99995156 -0.46842226 -0.75649363 -0.70113068 -0.90963908 -0.2300909 -0.51121695
"5" 1 "5" "standing" 1 5 0.27662877 -0.016569655 -0.11536185 -0.99813862 -0.18976271 0.59921296 0.9682244 -0.14875022 0.094485896 -0.99842928 -0.18484007 0.96479651 0.073444363 0.019121574 0.016779979 -0.99642017 0.10306475 0.064729309 -0.033960416 -0.074708034 0.077392035 -0.98518357 0.48441885 -0.72455753 -0.090770099 -0.037632533 -0.058289319 -0.99135446 0.10748923 -0.28258933 0.51556243 -0.35585076 0.51556243 -0.35585076 0.13437035 -0.45829909 0.02333272 0.039038976 -0.14566464 -0.0073679914 -0.99728592 -0.98230099 -0.98836944 -0.99860647 -0.99981232 -0.99979272 -0.99629204 -0.98879002 -0.99062442 -0.99690254 -0.9999004 -0.99980921 -0.98244648 -0.9929838 -0.98866644 -0.98598182 -0.99986642 -0.99997284 -0.11266294 -0.4818052 -0.52890134 -0.85893252 -0.51028185 -0.83070177
"6" 1 "5" "standing" 1 5 0.27719877 -0.01009785 -0.10513725 -0.99733496 -0.15106365 0.18042444 0.9679482 -0.14820997 0.091909715 -0.9989793 0.4664707 0.44309711 0.077932436 0.018684046 0.0093444336 -0.9948136 0.041825695 -0.11178209 -0.028775508 -0.070393108 0.079012142 -0.9851808 0.64501358 -0.74597924 -0.094247582 -0.043355261 -0.041935999 -0.99162156 0.18667289 -0.32116943 0.56348302 -0.48154569 0.56348302 -0.48154569 -0.068588167 -0.16618196 0.095891245 0.069755956 0.049574642 -0.16885276 -0.99665675 -0.9869395 -0.9927386 -0.9976438 -0.99992378 -0.99981035 -0.99485071 -0.98824433 -0.99015748 -0.995218 -0.99989072 -0.99980275 -0.98489022 -0.99278621 -0.9807784 -0.98528707 -0.99979179 -0.99990516 -0.5946439 -0.80918636 -0.52087925 -0.80252544 -0.34604454 -0.72727049
"7" 1 "5" "standing" 1 5 0.27945388 -0.019640776 -0.11002215 -0.99692104 -0.13572875 0.61084543 0.9679295 -0.14428214 0.093144628 -0.99933247 0.93933811 0.87910178 0.082170765 -0.01701467 -0.015798166 -0.99520561 0.25455166 0.26462487 -0.028600251 -0.083046734 0.095464555 -0.98817723 0.46606163 -0.68768073 -0.097088606 -0.041589277 -0.044704559 -0.99041853 0.20393143 -0.41603782 0.29302646 -0.062701218 0.29302646 -0.062701218 -0.18707734 -0.20728576 0.19634064 -0.011317902 0.20274247 -0.36516042 -0.99584913 -0.96761161 -0.98412325 -0.99746125 -0.99958799 -0.99979558 -0.99475512 -0.98324029 -0.98733724 -0.9962421 -0.99965696 -0.9998356 -0.98602735 -0.99049909 -0.97845604 -0.98878814 -0.99969772 -0.99991984 -0.47276567 -0.78376997 -0.66883517 -0.93344267 -0.32159084 -0.65843521
"8" 1 "5" "standing" 1 5 0.27743247 -0.030488303 -0.12536043 -0.99655926 -0.017120153 0.56142107 0.96849148 -0.14670536 0.091708159 -0.99811827 -0.8592257 0.98218482 0.072364228 0.0087478559 -0.0044681354 -0.99527281 0.30379946 0.19184438 -0.024200262 -0.07789261 0.094095607 -0.98910723 0.19300089 -0.73265004 -0.10316236 -0.035546068 -0.063208931 -0.9911036 0.20803026 -0.38480709 0.15035843 0.035137205 0.15035843 0.035137205 -0.16992857 -0.34337938 0.2270784 -0.064388345 0.23369434 -0.35191026 -0.99519276 -0.97429127 -0.98865193 -0.99727933 -0.99952609 -0.99983153 -0.99494703 -0.9807555 -0.99083807 -0.99612766 -0.99973469 -0.99985189 -0.98733016 -0.99001425 -0.98036083 -0.98960041 -0.99968078 -0.99993433 0.080451123 -0.18372772 -0.65550271 -0.93256307 -0.4072843 -0.73331337
"9" 1 "5" "standing" 1 5 0.27729342 -0.021750698 -0.12075082 -0.99732847 -0.033767493 0.72423433 0.96848115 -0.15437401 0.085118255 -0.99778938 0.55275926 0.9683003 0.075284365 0.030762704 0.01121195 -0.99647892 -0.060574147 0.06435348 -0.024831025 -0.066401639 0.077862982 -0.99088198 0.23371724 -0.44248085 -0.1006944 -0.047715247 -0.067720045 -0.99241954 -0.14109889 -0.25804339 0.21921513 -0.16176693 0.21921513 -0.16176693 0.035479208 0.161041 -0.11098953 0.11578179 -0.0074530485 -0.36706225 -0.99709991 -0.96820527 -0.99063224 -0.99736759 -0.99959394 -0.99986279 -0.99669274 -0.98019053 -0.99630723 -0.99650656 -0.99996397 -0.99989587 -0.98909792 -0.99196691 -0.98402803 -0.99137591 -0.9998682 -0.99993935 0.0375098 -0.2947921 -0.75048514 -0.92947437 -0.3713888 -0.67476974
"10" 1 "5" "standing" 1 5 0.28058569 -0.0099602983 -0.10606516 -0.99480344 -0.44765092 0.39186658 0.96841804 -0.15630201 0.08087447 -0.99736219 -0.029064172 -0.53613893 0.076369318 0.012518906 0.0030843751 -0.99115561 0.13630712 0.44007709 -0.0234154 -0.070925683 0.078975843 -0.98493784 0.16024533 -0.44692136 -0.098429383 -0.043540216 -0.048562914 -0.98391251 0.089193195 -0.45591684 0.26678535 -0.090331096 0.26678535 -0.090331096 -0.16203218 0.17737548 -0.0995254 0.070965089 -0.24958036 -0.081848717 -0.99351933 -0.97031864 -0.98609566 -0.99538845 -0.99968059 -0.99982605 -0.99153425 -0.97084854 -0.98677551 -0.99146811 -0.9996968 -0.99979764 -0.98177767 -0.98800114 -0.97745298 -0.98586913 -0.99973753 -0.99992973 -0.47776668 -0.76929939 -0.51011582 -0.80191873 0.10678504 -0.13136029
